                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4041,                   1.45,                 1.4782,                 0.6393,                 0.5406,                0.57229,                0.33823,                 1.5348,                 1.4993,                 1.7584,               0.006733,               0.006733,               0.006733
                     35,                 1.3895,                 1.4332,                 1.4827,                0.64578,                0.55985,                 0.5916,                0.34491,                 1.5759,                 1.4399,                 1.7993,               0.006634,               0.006634,               0.006634
                     36,                  1.355,                 1.4002,                 1.4689,                0.63676,                0.52896,                0.57298,                0.34105,                  1.583,                 1.5054,                   1.79,               0.006535,               0.006535,               0.006535
                     37,                 1.3739,                 1.4047,                 1.4631,                0.67654,                0.58143,                0.60058,                0.34758,                 1.5575,                 1.3734,                 1.7809,               0.006436,               0.006436,               0.006436
                     38,                 1.3567,                  1.382,                 1.4597,                0.64041,                0.59073,                 0.5837,                  0.334,                  1.596,                 1.4195,                 1.8178,               0.006337,               0.006337,               0.006337
                     39,                 1.3663,                 1.3975,                 1.4644,                0.58772,                0.57529,                0.57539,                0.34091,                 1.4816,                 1.5287,                 1.7428,               0.006238,               0.006238,               0.006238
                     40,                 1.3468,                 1.3785,                 1.4501,                0.63625,                0.57405,                0.56847,                  0.317,                 1.6151,                 1.4959,                 1.8116,               0.006139,               0.006139,               0.006139
                     41,                 1.3476,                 1.3921,                 1.4544,                0.65645,                0.59021,                0.60842,                0.35712,                 1.4741,                 1.4055,                 1.7277,                0.00604,                0.00604,                0.00604
                     42,                 1.3274,                  1.362,                 1.4352,                 0.6784,                0.53668,                0.59756,                0.34484,                 1.5114,                 1.5012,                 1.7408,               0.005941,               0.005941,               0.005941
                     43,                 1.3516,                 1.3764,                 1.4709,                0.66122,                0.58026,                0.59411,                0.33385,                 1.5999,                 1.4376,                 1.8163,               0.005842,               0.005842,               0.005842
                     44,                 1.3028,                 1.3566,                 1.4332,                0.70093,                0.54826,                0.60237,                 0.3571,                 1.5248,                 1.4164,                 1.7785,               0.005743,               0.005743,               0.005743
                     45,                 1.3055,                 1.3321,                 1.4202,                0.75494,                0.58301,                0.64175,                 0.3757,                 1.4958,                 1.3979,                  1.723,               0.005644,               0.005644,               0.005644
                     46,                 1.2922,                  1.339,                  1.424,                0.66507,                0.59846,                0.64539,                0.37846,                 1.4803,                 1.2938,                 1.7107,               0.005545,               0.005545,               0.005545
                     47,                 1.3008,                 1.3319,                 1.4158,                0.66364,                0.60618,                0.60843,                0.34995,                 1.5383,                 1.3929,                 1.7474,               0.005446,               0.005446,               0.005446
                     48,                 1.2984,                 1.3093,                 1.4255,                0.65901,                0.63428,                0.61799,                0.36806,                  1.508,                 1.3551,                 1.7411,               0.005347,               0.005347,               0.005347
                     49,                 1.2723,                 1.2938,                 1.4105,                0.63506,                0.60469,                0.60097,                0.36218,                 1.4765,                 1.4176,                 1.7223,               0.005248,               0.005248,               0.005248
